id;name;weight
224517;Brass: Birmingham;3.8703
161936;Pandemic Legacy: Season 1;2.8298
342942;Ark Nova;3.776
174430;Gloomhaven;3.9118
233078;Twilight Imperium: Fourth Edition;4.3301
316554;Dune: Imperium;3.0595
167791;Terraforming Mars;3.2649
115746;War of the Ring: Second Edition;4.2115
187645;Star Wars: Rebellion;3.7401
162886;Spirit Island;4.0709
291457;Gloomhaven: Jaws of the Lion;3.6407
220308;Gaia Project;4.3959
12333;Twilight Struggle;3.6113
182028;Through the Ages: A New Story of Civilization;4.4379
397598;Dune: Imperium – Uprising;3.4824
84876;The Castles of Burgundy;2.9753
193738;Great Western Trail;3.6993
169786;Scythe;3.4502
246900;Eclipse: Second Dawn for the Galaxy;3.6514
173346;7 Wonders Duel;2.2261
28720;Brass: Lancashire;3.8532
167355;Nemesis;3.4812
266507;Clank! Legacy: Acquisitions Incorporated;2.7338
177736;A Feast for Odin;3.8592
124361;Concordia;2.9868
295770;Frosthaven;4.3985
341169;Great Western Trail: Second Edition;3.7136
205637;Arkham Horror: The Card Game;3.553
312484;Lost Ruins of Arnak;2.9283
237182;Root;3.815
120677;Terra Mystica;3.974
266192;Wingspan;2.4718
192135;Too Many Bones;3.8564
164928;Orléans;3.0243
96848;Mage Knight Board Game;4.367
251247;Barrage;4.1119
324856;The Crew: Mission Deep Sea;2.0358
199792;Everdell;2.8238
183394;Viticulture Essential Edition;2.8929
373106;Sky Team;2.0581
366013;Heat: Pedal to the Metal;2.1956
285774;Marvel Champions: The Card Game;2.9418
175914;Food Chain Magnate;4.1949
256960;Pax Pamir: Second Edition;3.8517
521;Crokinole;1.2255
247763;Underwater Cities;3.5862
284378;Kanban EV;4.2985
3076;Puerto Rico;3.2682
295947;Cascadia;1.8614
102794;Caverna: The Cave Farmers;3.7773
314040;Pandemic Legacy: Season 0;3.1646
185343;Anachrony;4.0111
321608;Hegemony: Lead Your Class to Victory;4.1975
184267;On Mars;4.6689
170216;Blood Rage;2.8852
253344;Cthulhu: Death May Die;2.4798
31260;Agricola;3.6355
251661;Oathsworn: Into the Deepwood;3.6586
255984;Sleeping Gods;3.2455
161533;Lisboa;4.5788
221107;Pandemic Legacy: Season 2;3.2523
231733;Obsession;3.0977
205059;Mansions of Madness: Second Edition;2.6964
182874;Grand Austria Hotel;3.2093
126163;Tzolk'in: The Mayan Calendar;3.666
2651;Power Grid;3.2512
383179;Age of Innovation;4.2632
244521;The Quacks of Quedlinburg;1.9446
276025;Maracaibo;3.9151
216132;Clans of Caledonia;3.4628
35677;Le Havre;3.713
421006;The Lord of the Rings: Duel for Middle-earth;2.0616
125153;The Gallerist;4.226
266810;Paladins of the West Kingdom;3.7145
164153;Star Wars: Imperial Assault;3.3032
124742;Android: Netrunner;3.4092
209010;Mechs vs. Minions;2.4498
284083;The Crew: The Quest for Planet Nine;1.9578
200680;Agricola (Revised Edition);3.449
55690;Kingdom Death: Monster;4.2684
365717;Clank!: Catacombs;2.5
28143;Race for the Galaxy;2.9916
230802;Azul;1.767
157354;Five Tribes: The Djinns of Naqala;2.8411
201808;Clank!: A Deck-Building Adventure;2.226
72125;Eclipse: New Dawn for the Galaxy;3.7048
338960;Slay the Spire: The Board Game;2.9368
159675;Fields of Arle;3.8433
191189;Aeon's End;2.8044
110327;Lords of Waterdeep;2.452
229853;Teotihuacan: City of Gods;3.774
93;El Grande;2.9471
317985;Beyond the Sun;3.1315
332772;Revive;3.4329
25613;Through the Ages: A Story of Civilization;4.1764
322289;Darwin's Journey;3.9089
62219;Dominant Species;4.0433
291453;SCOUT;1.3583
366161;Wingspan Asia;2.6863
256916;Concordia Venus;3.0258
